time_sn,ctrlong,ctrlatr,ax_m_s2,ay_m_s2,az_m_s2,p_rad_s,q_rad_s,r_rad_s,quat_e0,quat_ex,quat_ey,quat_ez,alpha_rad,beta_rad,tas_m_s,de_rad,dr_rad,da_rad,mass_kg,thrust_N,lat_rad,lon_rad,alt_m
34.9,1,1,0.273412030589489,-0.00658767726738766,-9.799683617478,7.92270178823892e-05,5.97837712716963e-05,-0.000535338012170267,0.999448149137704,7.83899539006993e-05,0.0143420898857074,-0.0299619821484809,0.0551501637319799,0.00104172638527196,25.0735098382431,-0.128793302893425,0,-0.0148111361868646,10.4988694037942,6.28268623857286,0.785540081285837,-2.12930929351438,973.194123594496
34.92,1,1,0.273438864023665,-0.00658807396664373,-9.79968268767089,7.90975788230477e-05,5.96665380551724e-05,-0.000534862245036447,0.999447980167976,7.9122291083912e-05,0.0143426635400366,-0.029967341502287,0.0551512869648759,0.00104176074973613,25.0733558630467,-0.128801798904989,0,-0.0148112647414104,10.4988687677725,6.28278361495706,0.785540159865586,-2.12930930004343,973.180850068378
34.94,1,1,0.273465644961641,-0.00658846997086474,-9.79968175858834,7.89683711469758e-05,5.95495046935377e-05,-0.000534387340563185,0.999447811328025,7.98533688174873e-05,0.0143432360615704,-0.0299726960860178,0.0551524077123812,0.00104179505264159,25.0732021920511,-0.128810276453407,0,-0.0148113930721863,10.4988681317511,6.28288084957841,0.785540238444803,-2.12930930657364,973.167576655045
34.96,1,1,0.273492373509871,-0.00658886528134952,-9.79968083026706,7.88393944760019e-05,5.94326719706323e-05,-0.000533913297221405,0.999447642617642,8.05831893451418e-05,0.014343807452246,-0.029978045908323,0.0551535259796536,0.00104182929410399,25.0730488246625,-0.128818735576767,0,-0.0148115211796656,10.4988674957301,6.28297794270876,0.785540317023489,-2.12930931310499,973.154303354419
34.98,1,1,0.273519049774445,-0.00658925989939528,-9.79967990274272,7.87106484320132e-05,5.93160406631888e-05,-0.000533440113484488,0.999447474036624,8.13117549072752e-05,0.0143443777140087,-0.0299833909778368,0.0551546417718345,0.00104186347423873,25.0728957602885,-0.128827176313399,0,-0.014811649064318,10.4988668597094,6.28307489461942,0.785540395601646,-2.1293093196375,973.14103016642
35,1,1,0.273545673861194,-0.0065896538262954,-9.79967897605055,7.85821326370318e-05,5.91996115673422e-05,-0.000532967787828266,0.999447305584763,8.20390677409747e-05,0.0143449468488117,-0.0299887313031782,0.0551557550940491,0.00104189759316093,25.0727429983379,-0.128835598701454,0,-0.014811776726613,10.498866223689,6.2831717055813,0.785540474179274,-2.12930932617115,973.12775709097
35.02,1,1,0.273572245875723,-0.00659004706334064,-9.79967805022552,7.84538467128844e-05,5.90833854059005e-05,-0.000532496318731042,0.999447137261855,8.27651300800084e-05,0.0143455148586158,-0.0299940668929509,0.0551568659514065,0.00104193165098544,25.0725905382209,-0.128844002778614,0,-0.0148119041670178,10.4988655876689,6.28326837586486,0.785540552756374,-2.12930933270594,973.114484127988
35.04,1,1,0.273598765923247,-0.00659043961181805,-9.79967712530135,7.83257902812758e-05,5.89673629530641e-05,-0.000532025704673577,0.999446969067693,8.34899441548131e-05,0.0143460817453894,-0.0299993977557432,0.0551579743489999,0.00104196564782682,25.0724383793488,-0.128852388583087,0,-0.0148120313859995,10.4988649516492,6.28336490574009,0.785540631332948,-2.12930933924188,973.101211277396
35.06,1,1,0.273625234108808,-0.00659083147301267,-9.79967620131185,7.81979629643112e-05,5.88515448716302e-05,-0.000531555944139078,0.999446801002072,8.42135121924964e-05,0.0143466475111083,-0.0300047239001283,0.0551590802919066,0.00104199958379939,25.0722865211345,-0.128860756152334,0,-0.0148121583840221,10.4988643156298,6.28346129547652,0.785540709908996,-2.12930934577897,973.087938539113
35.08,1,1,0.273651650537112,-0.00659122264820582,-9.79967527828988,7.80703643839624e-05,5.87359318643974e-05,-0.00053108703561322,0.999446633064786,8.49358364168187e-05,0.0143472121577551,-0.0300100453346642,0.0551601837851874,0.00104203345901717,25.0721349629919,-0.128869105524018,0,-0.0148122851615494,10.4988636796107,6.28355754534327,0.785540788484519,-2.1293093523172,973.074665913059
35.1,1,1,0.273678015312598,-0.00659161313867596,-9.79967435626778,7.79429941623848e-05,5.86205246365635e-05,-0.000530618977584133,0.99944646525563,8.5656919048204e-05,0.0143477756873195,-0.0300153620678936,0.0551612848338881,0.00104206727359394,25.0719837043361,-0.128877436735695,0,-0.0148124117190436,10.4988630435919,6.28365365560898,0.785540867059519,-2.12930935885657,973.061393399154
35.12,1,1,0.273704328539454,-0.00659200294569874,-9.79967343527748,7.78158519215794e-05,5.85053238166883e-05,-0.000530151768542422,0.999446297574399,8.63767623037294e-05,0.0143483381017981,-0.0300206741083442,0.0551623834430388,0.00104210102764321,25.0718327445838,-0.128885749824626,0,-0.0148125380569651,10.4988624075735,6.28374962654186,0.785540945633995,-2.12930936539708,973.048120997317
35.14,1,1,0.273730590321577,-0.00659239207054731,-9.79967251535023,7.76889372837733e-05,5.83903300679901e-05,-0.000529685406981142,0.999446130020887,8.70953683971153e-05,0.014348899403194,-0.0300259814645285,0.0551634796176537,0.0010421347212782,25.0716820831527,-0.128894044828105,0,-0.0148126641757727,10.4988617715553,6.28384545840969,0.785541024207951,-2.12930937193873,973.034848707467
35.16,1,1,0.273756800762596,-0.00659278051449078,-9.79967159651672,7.75622498710615e-05,5.8275543974892e-05,-0.000529219891395814,0.999445962594889,8.78127395387204e-05,0.0143494595935165,-0.0300312841449437,0.0551645733627318,0.0010421683546119,25.0715317194617,-0.128902321783239,0,-0.014812790075925,10.4988611355375,6.28394115147979,0.785541102781385,-2.12930937848152,973.021576529524
35.18,1,1,0.273782959965857,-0.00659316827879641,-9.799670678807,7.74357893061276e-05,5.81609661701284e-05,-0.000528755220284408,0.9994457952962,8.85288779355411e-05,0.0143500186747813,-0.0300365821580722,0.0551656646832565,0.00104220192775701,25.071381652931,-0.128910580727129,0,-0.0148129157578779,10.4988604995199,6.28403670601904,0.785541181354299,-2.12930938502544,973.008304463406
35.2,1,1,0.273809068034466,-0.00659355536472805,-9.79966976225078,7.7309555210991e-05,5.80465972327859e-05,-0.000528291392147382,0.999445628124616,8.92437857912086e-05,0.01435057664901,-0.0300418755123812,0.0551667535841963,0.00104223544082601,25.0712318829821,-0.128918821696624,0,-0.0148130412220867,10.4988598635027,6.28413212229389,0.785541259926695,-2.12930939157051,972.995032509032
